ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
5.609,3.8386,3.8662,0.9673,486.8321,499.1069,26.5802
5.629,3.8013,3.834,0.8472,10.855,3.7176,17.4198
5.649,3.8005,3.9956,1.1023,16.0611,15.8855,3.3817
5.669,3.8755,3.9771,1.0034,497.7939,492.9771,6.4351
5.689,3.8469,3.9456,0.9797,496.1679,494.2748,13.2748
5.709,3.9946,3.9805,1.2312,0.4351,460.8092,3.3664
5.729,3.8447,3.9731,1.0039,493.7634,3.2519,0.7328
5.749,3.8586,3.9648,0.9961,495.687,3.4275,1.1756
5.769,3.8635,3.9717,0.998,497.9618,497.7863,1.145
5.789,3.8645,3.9797,0.9961,497.8015,499.0763,1.3359
5.809,3.8591,3.9673,0.9858,497.7252,500.1603,1.2595
5.829,3.8562,3.9688,0.9827,498.0306,499.4962,1.313
5.849,3.8577,3.9722,0.9966,498.1985,499.4351,1.2901
5.869,3.8611,3.9729,0.9927,498.0611,500.0306,1.3282
5.889,3.865,3.9714,0.9919,497.8855,0.9542,1.3511
5.909,3.8542,3.9663,0.9944,497.5115,1.9237,1.2824
5.929,3.8569,3.9646,0.9858,497.6412,1.542,1.2672
5.949,3.8564,3.9709,0.9902,498.0306,0.084,1.2214
5.969,3.8596,3.9736,0.9973,498.084,499.4504,1.3359
5.989,3.8547,3.9712,0.9932,498.0229,500.1756,1.2595
6.009,3.8535,3.9709,0.99,497.8855,0.1298,1.2901
6.029,3.8608,3.9761,0.9844,498.0,499.4275,1.2061
6.049,3.856,3.9678,0.9946,498.0534,499.8703,1.3588
6.069,3.8608,3.9709,0.9819,497.9848,0.0611,1.3435
6.089,3.8574,3.9717,0.9893,497.9313,0.3511,1.3588
6.109,3.8623,3.9702,0.99,497.8015,0.3969,1.3359
6.129,3.8594,3.9702,0.9902,497.9618,0.0534,1.2595
6.149,3.8569,3.9683,0.9915,497.6412,0.2901,1.3206
6.169,3.8582,3.9705,0.9985,497.9924,499.8855,1.3359
6.189,3.8564,3.9739,0.9946,497.7939,499.8244,1.3206
6.209,3.8633,3.9695,0.9929,497.771,500.0076,1.2672
6.23,3.8589,3.97,0.9858,497.7786,0.2672,1.2519
6.249,3.8628,3.9661,0.9966,497.8244,500.2519,1.3359
6.269,3.8606,3.9709,0.9956,497.9466,500.1756,1.2748
6.289,3.8604,3.9702,0.9907,497.8703,0.2672,1.2519
6.309,3.8577,3.9688,0.9924,497.916,0.1527,1.3206
6.329,3.8562,3.9717,0.9971,497.8703,0.4427,1.2977
6.349,3.8616,3.9707,0.9885,497.8397,0.5649,1.3206
6.369,3.8538,3.9749,0.9866,497.9466,0.2595,1.2977
6.389,3.8638,3.9692,0.9907,497.9771,0.0534,1.2137
6.409,3.8625,3.9648,0.9893,497.9924,499.855,1.3206
6.429,3.8591,3.969,0.9885,497.9848,0.0382,1.2977
6.449,3.8606,3.9705,0.9895,498.0534,500.0076,1.2061
6.469,3.8596,3.9712,0.9978,498.1679,0.0305,1.3282
6.489,3.8547,3.9775,0.9834,497.8397,0.6489,1.2977
6.509,3.8584,3.9729,0.9963,497.687,0.9618,1.313
6.529,3.8601,3.9734,0.9844,497.8244,0.2748,1.3053
6.549,3.8564,3.9702,0.9966,497.855,0.6031,1.374
6.569,3.8574,3.9722,0.9878,497.8244,0.6641,1.3282
6.589,3.8625,3.9727,0.9922,497.8321,0.1908,1.2748
6.609,3.8555,3.9688,0.991,498.0229,0.0611,1.3511
6.629,3.8618,3.9792,0.9839,498.0076,500.2519,1.2672
6.649,3.8596,3.9685,0.9888,497.9924,0.084,1.3435
6.669,3.8579,3.9729,0.9954,497.9389,500.0763,1.3053
6.689,3.8582,3.9712,0.9907,498.1756,499.7252,1.2595
6.709,3.8589,3.9729,0.9905,498.1756,499.0382,1.3511
6.729,3.8555,3.9717,0.9888,498.0993,499.1603,1.2672
6.749,3.8643,3.9739,1.0002,498.1145,499.1756,1.3206
6.769,3.8674,3.9785,0.9919,497.9466,0.0458,1.2901
6.789,3.8569,3.9729,0.9832,497.9848,499.9389,1.2977
6.809,3.8621,3.9727,0.998,498.229,499.6794,1.3435
6.829,3.8726,3.9727,0.9873,498.4656,0.5725,1.5344
6.849,3.9724,3.9802,0.9983,497.4886,498.9848,7.3053
6.87,3.9529,0.0178,1.0103,494.6183,495.626,27.7634
6.889,3.8967,3.9683,1.0222,492.1756,497.8015,39.2519
6.909,3.5703,3.8926,1.0127,495.1832,2.2061,21.8855
6.929,3.7769,3.9409,1.0483,495.084,2.4351,483.2672
6.949,3.833,3.9473,1.051,487.0763,2.6947,474.2519
6.969,3.8931,3.8713,0.9585,484.6336,499.7023,473.0687
6.989,3.8699,3.9028,1.0454,490.6183,490.3206,473.6641
7.009,3.7546,3.9929,1.2104,475.7863,484.2596,481.3053
7.029,3.7473,3.97,1.2031,430.0687,430.2519,11.1298
7.049,0.0164,3.7278,0.8572,423.5573,438.5573,29.3893
7.069,0.1106,3.8193,0.8176,458.6031,430.3511,499.4733
7.089,3.9285,3.9265,0.9021,492.2443,402.458,486.9771
7.109,3.8333,3.9436,1.3037,484.3511,385.1679,474.4046
7.129,3.9084,3.9177,1.1506,462.6183,371.3588,481.5191
7.149,0.1433,3.8381,0.7981,498.1832,396.1527,492.3664
7.169,0.2017,3.9016,0.7727,41.9847,407.3435,474.084
7.189,0.1548,3.9497,0.8779,491.7557,362.0993,470.5802
7.209,0.1531,3.9358,0.9302,433.1145,366.0,476.7023
7.229,0.2305,3.8413,0.9773,481.9389,391.4351,482.7023
7.249,0.4526,3.8069,0.8948,16.7786,352.229,486.3817
7.269,0.4023,3.907,1.0288,5.4275,331.771,466.5725
7.289,0.2822,3.9077,1.0261,484.8779,347.4886,484.3741
7.309,0.3811,3.8679,0.7151,475.0,409.4351,1.7099
7.329,0.5364,3.865,0.6035,491.0687,452.5115,498.0763
7.349,0.5232,3.8489,0.9546,15.4656,441.3053,498.542
7.369,0.613,3.8262,1.04,476.2596,438.4809,485.1756
7.389,0.6067,3.8469,0.7769,451.7252,418.7176,477.9237
7.409,0.5015,3.8979,0.71,462.5496,430.1451,494.9695
7.429,0.4773,3.8936,0.6682,495.397,479.1679,19.5573
